"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","18","843.249615062","1","1","0","0","3","left","out","Female","Left-handed","3","1","yes","left","s","894.851792971","791.647437152","34","green","2"
"100","100","18","747.119581967","1","1","0","1","0","left","out","Female","Left-handed","3","1","yes","left","s","708.370041793","593.609055952","34","green","1"
"100","66","18","819.637697264","1","0","0","2","1","left","in","Female","Left-handed","3","1","yes","left","d","1128.23228204","801.115573675","34","red","0"
"100","75","18","904.013847494","1","1","0","3","3","left","in","Female","Left-handed","3","1","yes","left","s","1408.6651313","905.619465069","34","green","3"
"100","60","18","973.640915742","1","0","0","4","1","left","out","Female","Left-handed","3","1","yes","left","d","1295.19887031","1209.09950716","34","green","3"
"100","66","18","1029.81285448","1","1","0","5","2","left","in","Female","Left-handed","3","1","yes","left","s","1683.63396586","937.711130435","34","green","0"
"100","71","18","1029.30183775","1","1","0","6","0","right","in","Female","Left-handed","3","1","yes","right","s","1043.29871647","1009.17275837","34","red","1"
"100","75","18","994.938542262","1","1","0","7","1","right","out","Female","Left-handed","3","1","yes","right","s","666.899719279","841.89122836","34","green","1"
"100","77","18","986.935494636","1","1","0","8","1","right","out","Female","Left-handed","3","1","yes","right","s","996.435577898","849.386649355","34","green","2"
"100","80","18","974.303031042","1","1","0","9","2","right","out","Female","Left-handed","3","1","yes","right","s","896.212264321","825.009453063","34","red","2"
"100","72","18","984.110792668","1","0","0","10","2","left","out","Female","Left-handed","3","1","yes","left","d","1186.7216457","977.655172152","34","green","3"
"100","75","18","971.320631111","1","1","0","11","3","left","in","Female","Left-handed","3","1","yes","left","d","828.27464844","832.983059532","34","red","1"
"100","76","18","980.960777566","1","1","0","12","0","left","out","Female","Left-handed","3","1","yes","left","d","1351.63598123","841.649088834","34","red","0"
"100","78","18","999.766783213","1","1","0","13","0","right","in","Female","Left-handed","3","1","yes","right","d","1375.18156456","1113.30814868","34","green","2"
"100","80","18","1010.2692816","1","1","0","14","0","left","out","Female","Left-handed","3","1","yes","left","d","1376.8075876","937.800930518","34","red","3"
"100","75","18","1019.11766722","1","0","0","15","3","right","out","Female","Left-handed","3","1","yes","right","d","878.391757378","1425.29514563","34","red","2"
"100","76","18","1040.12014233","1","1","0","16","0","left","in","Female","Left-handed","3","1","yes","left","d","1758.61222943","993.707258764","34","red","0"
"100","77","18","1032.72518361","1","1","0","17","3","left","in","Female","Left-handed","3","1","yes","left","d","732.520813577","1081.50095717","34","red","1"
"100","78","18","1030.79180064","1","1","0","18","2","right","in","Female","Left-handed","3","1","yes","right","s","1007.01499052","984.966823675","34","red","0"
"100","80","18","1029.82931248","1","1","0","19","3","left","out","Female","Left-handed","3","1","yes","left","s","925.571761974","1097.51231304","34","green","0"
"100","80","18","1018.25086776","1","1","0","20","2","right","in","Female","Left-handed","3","1","yes","right","s","564.109406016","1009.2545406","34","green","1"
"100","81","18","1027.83993729","1","1","0","21","0","left","in","Female","Left-handed","3","1","yes","left","s","1328.69718993","1129.72360495","34","green","2"
"100","0","18","866.0695816","1","0","1","22","2","right","out","Female","Left-handed","3","1","no","right","s","906.94401638","825.195146819","34","red","2"
"100","50","18","949.847933171","1","1","1","23","2","left","out","Female","Left-handed","3","1","no","left","d","1065.62526359","1001.6273059","34","red","0"
"100","66","18","1018.25539594","1","1","1","24","1","right","in","Female","Left-handed","3","1","no","right","d","1357.09871307","953.041929904","34","red","2"
"100","75","18","1023.75709461","1","1","1","25","0","left","in","Female","Left-handed","3","1","no","left","s","1014.69033241","1065.83404879","34","red","3"
"100","80","18","968.669743176","1","1","1","26","1","left","in","Female","Left-handed","3","1","no","left","s","831.322720034","665.317954856","34","green","2"
"100","83","18","946.622533131","1","1","1","27","3","right","in","Female","Left-handed","3","1","no","right","s","838.832252473","833.940713339","34","green","2"
"100","85","18","928.407978665","1","1","1","28","3","right","out","Female","Left-handed","3","1","no","right","d","692.610446895","945.630856848","34","red","2"
"100","87","18","918.86501828","1","1","1","29","3","right","in","Female","Left-handed","3","1","no","right","s","791.033910118","913.094681047","34","green","3"
"100","88","18","921.071886647","1","1","1","30","2","right","out","Female","Left-handed","3","1","no","right","s","955.766079747","921.687587415","34","red","0"
"100","90","18","905.68187613","1","1","1","31","0","right","in","Female","Left-handed","3","1","no","right","d","517.145563059","1017.1979999","34","green","1"
"100","90","18","911.110011611","1","1","1","32","3","left","out","Female","Left-handed","3","1","no","left","s","729.90859313","1200.87413972","34","red","2"
"100","91","18","912.841757491","1","1","1","33","1","right","in","Female","Left-handed","3","1","no","right","d","806.337128135","1057.4447962","34","red","3"
"100","92","18","905.276978877","1","1","1","34","0","left","in","Female","Left-handed","3","1","no","left","d","764.013704778","864.985566241","34","red","2"
"100","92","18","917.374709061","1","1","1","35","1","left","out","Female","Left-handed","3","1","no","left","d","1155.64953206","993.640870842","34","green","3"
"100","93","18","945.494328644","1","1","1","36","1","left","in","Female","Left-handed","3","1","no","left","s","669.256650897","2009.08135471","34","red","1"
"100","93","18","947.071065867","1","1","1","37","2","left","in","Female","Left-handed","3","1","no","left","d","731.694332044","1209.74991638","34","green","2"
"100","94","18","945.079406955","1","1","1","38","2","left","out","Female","Left-handed","3","1","no","left","d","897.301411111","929.124317641","34","red","0"
"100","94","18","931.869028851","1","1","1","39","0","left","out","Female","Left-handed","3","1","no","left","s","589.705959232","824.879242933","34","green","1"
"100","94","18","954.310524961","1","1","1","40","0","right","out","Female","Left-handed","3","1","no","right","d","563.271378753","2153.24353111","34","red","0"
"100","90","18","960.039994715","1","0","1","41","3","left","in","Female","Left-handed","3","1","no","left","d","1160.76589213","977.033947962","34","red","3"
