,ACC_2,ACC_cue_t_high,ACC_cue_t_low,ACC_cue_t_no,ACC_uncue_high,ACC_uncue_low,ACC_uncue_no,RT_cue_t_high,RT_cue_t_low,RT_cue_t_no,RT_uncue_high,RT_uncue_low,RT_uncue_no,less,more,answer1,answer2,,
0,0.830078125,1,1,0.98245614,1,1,1,525.4306827,703.5246748,604.1113029,560.2809256,838.9359027,624.7437844,1,0,2,0,no,1
1,0.73828125,1,1,1,1,0.972972973,0.958041958,572.5586637,994.4463716,753.0555627,686.2968287,1218.890876,875.1065988,2,0,0,3,no,0
2,0.88671875,0.973684211,1,1,1,1,0.994285714,598.4343696,531.3196706,623.9268537,805.4719432,774.4338348,806.4869615,3,0,2,1,yes,0
3,0.65234375,1,1,1,1,0.966666667,1,867.7276234,928.6045215,783.1445619,918.3591202,845.6699005,763.5058795,0,1,0,1,no,1
4,0.810546875,1,1,1,1,0.971428571,1,781.6967699,809.9397507,696.2875147,924.2155404,1074.083878,871.2254739,2,1,2,2,no,1
5,0.880859375,1,1,1,1,1,1,678.1130621,762.2709635,655.0360959,701.2753254,674.4707673,703.3865667,3,1,2,1,no,1
6,0.810546875,0.973684211,1,1,1,1,0.993670886,684.8097886,628.67673,685.3904182,710.2798037,662.1720713,688.4973973,0,2,3,0,yes,0
7,0.8359375,1,1,1,1,0.976190476,1,695.8966529,712.5247671,607.6620687,739.3266274,759.8749263,623.473332,1,2,2,1,yes,0
8,0.783203125,1,1,1,1,1,1,563.4607653,560.4699011,574.9057139,581.9078933,599.2923906,603.0923495,3,2,0,2,no,1
9,0.818359375,1,0.846153846,1,0.96460177,0.906976744,0.961038961,456.8578627,546.2417492,544.9600007,434.6112909,514.2602366,549.5505528,0,3,0,2,no,1
10,0.806640625,1,1,1,1,1,0.993865031,632.5847006,955.9605258,726.1351636,595.8540627,1035.717996,817.3186389,1,3,3,2,no,0
11,0.857421875,1,1,1,1,1,1,513.5259502,587.8735593,613.3664224,634.6185831,836.7847445,727.0299093,2,3,2,3,yes,1
12,0.9296875,1,1,1,1,0.97826087,1,601.782826,794.7475759,689.8873983,627.0853192,794.2212702,703.147216,1,0,3,0,no,1
13,0.88671875,1,1,1,1,0.955555556,0.994117647,654.5156028,692.8923761,616.6813095,708.9039613,830.8277734,743.2888923,2,0,1,0,yes,1
14,0.73046875,1,1,0.97826087,0.990566038,0.96969697,0.992857143,664.1361514,796.3210208,840.7102993,741.0278636,750.8582812,876.4203996,3,0,1,0,yes,1
