"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","18","1611.05288376","1","1","0","0","2","right","0","out","Female","Right-handed","2","yes","right","d","1902.31478304","1319.79098448","2","red","1"
"100","100","18","1587.2030913","1","1","0","1","3","left","1","in","Female","Right-handed","2","yes","left","d","1684.82472677","1441.88187089","2","green","3"
"100","100","18","1610.70870453","1","1","0","2","0","left","0","in","Female","Right-handed","2","yes","left","d","1778.23130255","1537.20855946","2","green","1"
"100","100","18","1585.46221736","1","1","0","3","1","right","0","in","Female","Right-handed","2","yes","right","d","1897.66315186","1121.78235985","2","green","3"
"100","100","18","1527.83647194","1","1","0","4","0","left","1","in","Female","Right-handed","2","yes","left","d","1433.33677566","1161.33020488","2","red","0"
"100","100","18","1467.08662519","1","1","0","5","0","left","0","out","Female","Right-handed","2","yes","left","d","1108.82424441","1217.85053845","2","red","3"
"100","100","18","1421.90129423","1","1","0","6","0","right","2","in","Female","Right-handed","2","yes","right","s","1340.11493095","961.463685911","2","red","0"
"100","87","18","1389.96854921","1","0","0","7","0","left","3","in","Female","Right-handed","2","yes","left","d","1058.98854603","1273.89012221","2","red","0"
"100","77","18","1385.52102111","1","0","0","8","3","right","3","in","Female","Right-handed","2","yes","right","s","1594.5066237","1105.37496881","2","green","1"
"100","70","18","1373.81366407","1","0","0","9","0","left","1","in","Female","Right-handed","2","yes","left","s","1007.05505948","1529.839842","2","green","2"
"100","72","18","1346.68364272","1","1","0","10","0","right","1","in","Female","Right-handed","2","yes","right","d","1229.40040012","921.366458351","2","green","2"
"100","66","18","1324.59101256","1","0","0","11","2","right","2","out","Female","Right-handed","2","yes","right","s","810.073039333","1353.07112211","2","red","3"
"100","69","18","1299.66996342","1","1","0","12","0","right","2","in","Female","Right-handed","2","yes","right","s","615.64678648","1385.58796118","2","green","3"
"100","64","18","1281.91581019","1","0","0","13","1","right","1","in","Female","Right-handed","2","yes","right","s","1421.07492962","681.148706595","2","red","2"
"100","66","18","1275.26492553","1","1","0","14","1","left","2","out","Female","Right-handed","2","yes","left","s","842.707580325","1521.59750048","2","green","3"
"100","62","18","1237.75828876","1","0","0","15","0","left","0","out","Female","Right-handed","2","yes","left","s","533.162756419","817.154718052","2","red","3"
"100","64","18","1219.08448432","1","1","0","16","2","left","2","in","Female","Right-handed","2","yes","left","s","959.875511779","880.731714671","2","green","1"
