,ACC_cue_d_high,ACC_cue_d_low,ACC_cue_t_high,ACC_cue_t_low,ACC_uncue_high,ACC_uncue_low,RT_cue_d_high,RT_cue_d_low,RT_cue_t_high,RT_cue_t_low,RT_uncue_high,RT_uncue_low,high_loc,answer,
0,1,1,1,1,1,1,827.0505598,766.7850236,568.8541964,555.3440313,830.4344904,819.5209378,0,0,no
1,1,1,1,1,1,1,1059.471821,854.2398776,732.9192876,670.6863306,1018.609926,876.9437739,1,2,no
2,1,1,1,1,1,0.962264151,645.4977252,570.035627,609.3290815,557.7312997,691.6602834,588.9701626,2,1,no
3,1,1,1,1,1,1,761.5396469,917.1283415,688.2488209,755.7556438,816.7094355,868.0629552,3,1,no
4,1,1,1,1,1,1,632.4009405,644.7170695,667.7577819,646.2844779,709.9571973,645.9583832,0,1,no
5,0.985915493,1,0.986842105,1,0.987261146,0.962264151,727.113041,628.0202079,603.299616,497.1756439,731.63809,651.9520411,1,0,no
6,1,1,1,1,1,1,1003.808595,973.2351516,797.4348649,753.5405229,1134.700602,1028.758099,2,1,yes
7,1,1,1,1,0.985815603,0.978723404,722.3973708,869.6705088,619.58981,686.7376154,756.797833,888.3746883,3,1,no
8,1,0.964285714,1,1,0.993421053,1,639.3265188,704.8827938,513.802434,584.882699,656.5675844,656.7859157,0,2,no
9,1,1,1,1,1,0.980769231,653.6563154,616.1480897,604.5670101,553.9090181,621.855443,593.5477546,1,3,no
10,1,1,1,1,1,1,609.0872296,608.824966,667.0849011,614.7743353,577.8269937,597.2496522,2,0,no
11,0.987179487,1,1,1,0.99270073,0.959183673,631.7019597,687.3464888,474.2139104,537.542255,668.8540828,671.3958631,3,3,no
12,0.986666667,1,0.970588235,1,0.993464052,0.960784314,603.1567235,549.6594439,578.2834333,537.870743,554.8147212,559.8326343,0,2,yes
13,0.988095238,1,1,1,0.993421053,0.9375,717.0572501,591.8400694,710.7974619,541.328779,750.858655,588.1347238,1,0,no
14,0.98245614,1,1,1,0.977099237,1,670.2149818,610.3524265,670.7243876,646.1012327,656.2681897,610.2891555,2,3,yes
15,0.971428571,1,1,1,1,1,736.361699,747.8230587,593.8512377,634.269649,671.8897809,801.8215623,3,2,no
16,0.956521739,0.869565217,0.971830986,0.941176471,1,1,946.9104402,756.0037332,896.287849,745.3731392,878.0620615,752.1995383,0,3,no
17,0.985507246,0.954545455,1,0.958333333,0.978873239,0.977777778,576.9186153,534.5272858,530.3231626,528.2290873,561.2007109,561.0180682,1,2,no
18,0.986486486,1,0.986486486,0.961538462,0.977777778,0.979591837,665.5118775,557.6993778,547.9619205,524.6311818,629.6730108,550.9225647,2,1,no
19,0.987179487,1,0.985915493,1,1,1,514.4396711,711.7475241,569.7646788,673.3133242,552.062628,684.3094161,3,2,no
20,1,1,0.986486486,1,0.980645161,1,550.0235005,609.4587714,535.2951952,631.1813151,557.3259893,622.8257775,0,3,no
21,1,0.928571429,1,1,1,1,692.7920115,637.9188206,661.5214339,594.7102951,708.3370987,612.7698726,1,1,no
22,0.975903614,1,0.963855422,1,0.964705882,0.981818182,446.7872186,444.1868264,460.348732,427.4571089,462.8558509,438.5385742,2,2,no
23,1,1,0.96875,1,0.985507246,0.978723404,505.7914108,598.5415801,515.7064082,585.6386276,484.0784027,584.609187,3,3,no
24,0.985915493,1,0.985915493,1,0.986394558,1,679.5190685,591.4806041,635.3318829,579.7106905,664.8590803,599.720093,0,2,no
25,0.942857143,0.884615385,1,1,0.964285714,0.905660377,668.702325,633.1279524,647.5238327,520.9470463,691.2501651,637.7606993,1,2,no
26,0.985714286,1,1,1,0.971830986,0.975609756,780.2233206,688.2566743,722.6579537,635.361796,750.2669822,685.8100862,2,1,no
27,0.948717949,1,1,1,0.973684211,1,499.5166338,590.3276066,468.7930012,574.8695259,497.7469897,634.5909346,3,1,no
28,0.96969697,0.888888889,0.985714286,1,0.977443609,0.97826087,887.9656321,943.612274,643.3309608,681.2508442,887.9427725,968.9472534,0,3,no
29,1,1,1,1,1,1,933.2051496,816.6078578,891.9550987,701.9642742,962.7063065,831.1300817,1,3,yes
30,1,0.964285714,1,1,1,1,549.1021829,562.4745821,531.0498572,535.3013731,564.5095597,585.613705,2,3,yes
31,0.984848485,1,0.982758621,1,0.951048951,0.977777778,707.3086178,677.4181999,705.789547,649.439887,668.6450614,712.2054089,3,2,no
